Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2020-07-22,1.7261124849319458,1.7806808692555927,1.7164829462061268,1.7614215921618201,49731841
2020-07-23,1.6996312141418457,1.7429645392354787,1.6928100410821412,1.7301253534526282,59291928
2020-07-24,1.7060508728027344,1.7253101479442416,1.6739516150686218,1.6859886370767996,41808351
2020-07-27,1.6651250123977661,1.695618250502897,1.6462668174225918,1.6932109657790915,56736540
2020-07-28,1.6871927976608276,1.6960203736592459,1.6566987601975351,1.6587050637684717,49491982
2020-07-29,1.6077485084533691,1.6731495769427012,1.5888903117983817,1.6611125533250943,85772432
2020-07-30,1.5153841972351074,1.6125630927404249,1.5036678002420574,1.6081494047904128,99273721
2020-07-31,1.4513472318649292,1.5421865007091247,1.4513472318649292,1.5352849718338364,88986681
2020-08-03,1.4901864528656006,1.4969271697329287,1.4174826786702044,1.4604952760517518,89381904
2020-08-04,1.5404212474822998,1.5487663880191855,1.4974085518558957,1.5104085481183835,66751557
2020-08-05,1.5166678428649902,1.5665811689488254,1.5049515453327762,1.548766403443286,42250843
2020-08-06,1.4966063499450684,1.529347158039346,1.4747788783593936,1.5075196864536715,43262149
2020-08-07,1.4723715782165527,1.4958033751969952,1.444445637281346,1.4842478891570272,53876306
2020-08-10,1.5197175741195679,1.532236033692391,1.4901864112964567,1.5046308184408101,63752024
2020-08-11,1.6065442562103271,1.6117601064312541,1.5331990326919958,1.5331990326919958,72927216
2020-08-12,1.5953102111816406,1.6438594837114846,1.5941865254554064,1.6049398494799518,55336486
2020-08-13,1.5628900527954102,1.6129641895615587,1.5628900527954102,1.5782975332424882,40406162
2020-08-14,1.5465198755264282,1.5567917632500656,1.498371680779357,1.555828789373017,51759295
2020-08-17,1.5173100233078003,1.5630508269340633,1.5142603901741072,1.5397789448268755,39663919
2020-08-18,1.5062360763549805,1.5505323724363758,1.4945197785614548,1.5068775265149081,36795007
2020-08-19,1.5521368980407715,1.5521368980407715,1.490828792684121,1.496766449447496,25485366
2020-08-20,1.487618327140808,1.5216435365639103,1.487618327140808,1.521482824641868,40698269
2020-08-21,1.4662731885910034,1.5046309318987694,1.4452478767022945,1.4946805680394413,50665297
2020-08-24,1.523087978363037,1.523087978363037,1.4767049226227054,1.48151969187558,34871042
2020-08-25,1.5208406448364258,1.5752480214630906,1.519556945823275,1.5470014524779157,48007338
2020-08-26,1.5412235260009766,1.5505324395871698,1.5046309189810116,1.5102479503399449,22642268
2020-08-27,1.5243713855743408,1.5367292318753298,1.4930750899065597,1.534643271340986,42121969
2020-08-28,1.5744456052780151,1.5826308322139064,1.5248530063419945,1.5362477797561318,53372983
2020-08-31,1.494840383529663,1.596914607624613,1.494840383529663,1.5888901920073804,50831606
2020-09-01,1.5006183385849,1.526458420186227,1.4701249979598097,1.5246923858064343,61740734
2020-09-02,1.4638655185699463,1.5121737194376978,1.4568032786119496,1.5028656055194336,50759460
2020-09-03,1.4789515733718872,1.5327175939289406,1.468840398377298,1.4845694030098728,60105148
2020-09-04,1.5291863679885864,1.5511737532216816,1.493236012889667,1.5086433934929695,84676596
2020-09-07,1.5349643230438232,1.570433246075925,1.5078406414198118,1.5508532426377493,45383638
2020-09-08,1.4890625476837158,1.5648159491452511,1.4861736264779337,1.538495232700782,49676720
2020-09-09,1.5124953985214233,1.516667919130705,1.4661123417905617,1.4913101737857999,65541590
2020-09-10,1.4810383319854736,1.5160257169372027,1.4680383345406205,1.5115324711010076,70817252
2020-09-11,1.4487792253494263,1.4826437270194446,1.4444458923639254,1.4813592293378102,67300185
2020-09-14,1.4556803703308105,1.4685195541304576,1.4308032663439603,1.4648284709614854,47388461
2020-09-15,1.4394699335098267,1.463704788884321,1.4301618197046557,1.4468528984340938,58317486
2020-09-16,1.4421989917755127,1.451025569727345,1.3962974723665886,1.4502234076398923,73821401
2020-09-17,1.4139515161514282,1.4264700759622553,1.3946922394368015,1.4099397075333184,58485357
2020-09-18,1.3605071306228638,1.412347208793718,1.3439767608289113,1.4118657717555763,243662750
2020-09-21,1.275926947593689,1.341408569049123,1.2701492044398879,1.341408569049123,109821767
2020-09-22,1.2521734237670898,1.316050511060892,1.243828284131811,1.314926825496433,102761793
2020-09-23,1.2338773012161255,1.2950254894352735,1.2338773012161255,1.2629269280244206,89346211
2020-09-24,1.2406178712844849,1.2581120099220673,1.2053097673556166,1.2091616621474743,89977785
2020-09-25,1.243506908416748,1.2757661809351588,1.228421051095284,1.2542602321720302,61836173
2020-09-28,1.3282477855682373,1.3282477855682373,1.263408511445052,1.274161835865916,77060993
2020-09-29,1.2776920795440674,1.3096306257653447,1.271914237038551,1.3096306257653447,51702194
2020-09-30,1.2836308479309082,1.3052975113857124,1.2455937278026294,1.2518530083164785,63638344
2020-10-01,1.2679024934768677,1.3102729413978094,1.2560253840508024,1.3091491558643036,56669078
2020-10-02,1.2667787075042725,1.2735194237505365,1.2378897952503551,1.248963843343654,61718768
2020-10-05,1.2911735773086548,1.303210600068535,1.2715935758874846,1.2839513237243014,51445961
2020-10-06,1.371580958366394,1.3820136563650547,1.2800994511581472,1.2897290887495971,84277118
2020-10-07,1.3537663221359253,1.3698159525600833,1.34590261812586,1.356495230463468,52576217
2020-10-08,1.3770383596420288,1.3919643059769136,1.3625938503664923,1.3661250210018727,48935255
2020-10-09,1.3593840599060059,1.3898772975436444,1.3499143353914898,1.379445497651274,66656428
2020-10-12,1.3391618728637695,1.368692237931761,1.3301736847244572,1.3542477305684897,38805814
2020-10-13,1.294704794883728,1.3391619039097777,1.2906921876271915,1.3364328957554803,44692023
2020-10-14,1.296470046043396,1.3256804878720485,1.2882849174532889,1.298395993883801,43728397
2020-10-15,1.2841122150421143,1.2865195997790784,1.2526551022551502,1.2839514032988937,51968198
2020-10-16,1.3181365728378296,1.32728477421939,1.2592358553836296,1.2921365791550776,63773920
2020-10-19,1.3271247148513794,1.3497543475840001,1.3048157073463136,1.3194210249583038,46426979
2020-10-20,1.3638774156570435,1.385223352531884,1.311235976751486,1.3136433614542598,67774651
2020-10-21,1.3390012979507446,1.4035199558588127,1.3390012979507446,1.3946924780725842,58815285
2020-10-22,1.3540875911712646,1.3608283069109282,1.310432652540496,1.326963816682988,70560047
2020-10-23,1.3995070457458496,1.4123471295481447,1.3563345336421668,1.3587419183399452,57002845
2020-10-26,1.3824951648712158,1.4060877732001662,1.3590625697056438,1.3629143650489253,53051933
2020-10-27,1.362273097038269,1.4508656929608479,1.356976790777793,1.4283959704075444,92848653
2020-10-28,1.3190997838974,1.3650014111551965,1.3067420335698114,1.3320997830768184,89028128
2020-10-29,1.3325810432434082,1.363075180094919,1.3064210371202916,1.3369143754032997,70005492
2020-10-30,1.3728656768798828,1.3778404597215326,1.3207048736528786,1.324075232379637,74623634
2020-11-02,1.4304826259613037,1.4304826259613037,1.373828483815452,1.391643349001655,50483841
2020-11-03,1.4860138893127441,1.4860138893127441,1.4290382193816489,1.444284889409708,88000563
2020-11-04,1.425186276435852,1.4560011369677806,1.4099396079843511,1.4356180761381179,79084593
2020-11-05,1.4690011739730835,1.477667838143208,1.3950137036365275,1.4364211767546144,90971165
